sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-1074_iter-1,depth-1074_iter-2,depth-1074_iter-3,depth-1074_iter-4,depth-1074_iter-5,depth-1074_iter-6,depth-1074_iter-7,depth-1074_iter-8,depth-1074_iter-9,depth-1074_iter-10,depth-2147_iter-1,depth-2147_iter-2,depth-2147_iter-3,depth-2147_iter-4,depth-2147_iter-5,depth-2147_iter-6,depth-2147_iter-7,depth-2147_iter-8,depth-2147_iter-9,depth-2147_iter-10,depth-3221_iter-1,depth-3221_iter-2,depth-3221_iter-3,depth-3221_iter-4,depth-3221_iter-5,depth-3221_iter-6,depth-3221_iter-7,depth-3221_iter-8,depth-3221_iter-9,depth-3221_iter-10,depth-4294_iter-1,depth-4294_iter-2,depth-4294_iter-3,depth-4294_iter-4,depth-4294_iter-5,depth-4294_iter-6,depth-4294_iter-7,depth-4294_iter-8,depth-4294_iter-9,depth-4294_iter-10,depth-5368_iter-1,depth-5368_iter-2,depth-5368_iter-3,depth-5368_iter-4,depth-5368_iter-5,depth-5368_iter-6,depth-5368_iter-7,depth-5368_iter-8,depth-5368_iter-9,depth-5368_iter-10,depth-6441_iter-1,depth-6441_iter-2,depth-6441_iter-3,depth-6441_iter-4,depth-6441_iter-5,depth-6441_iter-6,depth-6441_iter-7,depth-6441_iter-8,depth-6441_iter-9,depth-6441_iter-10,depth-7515_iter-1,depth-7515_iter-2,depth-7515_iter-3,depth-7515_iter-4,depth-7515_iter-5,depth-7515_iter-6,depth-7515_iter-7,depth-7515_iter-8,depth-7515_iter-9,depth-7515_iter-10,depth-8588_iter-1,depth-8588_iter-2,depth-8588_iter-3,depth-8588_iter-4,depth-8588_iter-5,depth-8588_iter-6,depth-8588_iter-7,depth-8588_iter-8,depth-8588_iter-9,depth-8588_iter-10,depth-9662_iter-1,depth-9662_iter-2,depth-9662_iter-3,depth-9662_iter-4,depth-9662_iter-5,depth-9662_iter-6,depth-9662_iter-7,depth-9662_iter-8,depth-9662_iter-9,depth-9662_iter-10
ERR4656740,1,1,1,1,1,1,1,1,1,1,23,23,22,22,22,23,23,22,22,22,22,23,22,22,22,23,22,23,23,23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,22.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
ERR4656741,1,1,1,1,1,1,1,1,1,1,29,28,28,28,30,28,28,28,27,28,29,29,30,29,29,29,28,29,30,28,30.0,29.0,30.0,28.0,30.0,30.0,28.0,30.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,29.0,29.0,30.0,30.0,29.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
ERR4656742,1,1,1,1,1,1,1,1,1,1,29,28,29,28,30,30,30,28,28,29,31,30,31,31,30,29,29,29,29,31,30.0,31.0,30.0,31.0,31.0,30.0,31.0,30.0,31.0,31.0,31.0,30.0,30.0,31.0,31.0,31.0,30.0,31.0,31.0,31.0,30.0,30.0,31.0,31.0,31.0,30.0,30.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,30.0,31.0,31.0,31.0,30.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0
ERR4656743,1,1,1,1,1,1,1,1,1,1,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR4656744,1,1,1,1,1,1,1,1,1,1,35,35,35,34,34,34,34,35,34,35,35,35,35,35,35,35,35,35,35,35,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR4656745,1,1,1,1,1,1,1,1,1,1,37,38,38,36,38,36,37,37,37,38,40,41,41,38,39,39,40,40,39,39,41.0,41.0,41.0,42.0,42.0,41.0,41.0,41.0,42.0,42.0,42.0,41.0,42.0,42.0,42.0,42.0,42.0,42.0,40.0,41.0,42.0,42.0,41.0,41.0,41.0,42.0,42.0,42.0,42.0,41.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,41.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
ERR4656746,1,1,1,1,1,1,1,1,1,1,55,57,58,60,58,57,60,61,58,57,60,60,60,61,62,61,60,61,61,62,60.0,62.0,62.0,62.0,61.0,62.0,61.0,62.0,62.0,62.0,61.0,60.0,60.0,61.0,62.0,62.0,61.0,62.0,61.0,62.0,61.0,61.0,62.0,61.0,62.0,62.0,61.0,62.0,62.0,60.0,61.0,62.0,62.0,62.0,62.0,61.0,61.0,62.0,61.0,62.0,62.0,62.0,62.0,62.0,62.0,61.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0,62.0
ERR4656747,1,1,1,1,1,1,1,1,1,1,23,23,23,22,23,21,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR4656748,1,1,1,1,1,1,1,1,1,1,37,38,39,41,39,42,40,38,41,39,44,41,41,44,43,44,43,41,43,44,46.0,46.0,44.0,44.0,45.0,45.0,45.0,45.0,45.0,45.0,45.0,46.0,44.0,45.0,44.0,45.0,45.0,43.0,44.0,46.0,46.0,44.0,45.0,46.0,46.0,45.0,46.0,46.0,45.0,46.0,45.0,46.0,46.0,46.0,46.0,46.0,46.0,45.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,,,,,,,,,,,,,,,,,,,,
ERR4656749,1,1,1,1,1,1,1,1,1,1,30,29,29,31,30,30,28,29,30,28,31,30,31,31,30,30,31,30,29,29,31.0,31.0,31.0,31.0,30.0,31.0,31.0,30.0,31.0,30.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
