sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-2225_iter-1,depth-2225_iter-2,depth-2225_iter-3,depth-2225_iter-4,depth-2225_iter-5,depth-2225_iter-6,depth-2225_iter-7,depth-2225_iter-8,depth-2225_iter-9,depth-2225_iter-10,depth-4449_iter-1,depth-4449_iter-2,depth-4449_iter-3,depth-4449_iter-4,depth-4449_iter-5,depth-4449_iter-6,depth-4449_iter-7,depth-4449_iter-8,depth-4449_iter-9,depth-4449_iter-10,depth-6673_iter-1,depth-6673_iter-2,depth-6673_iter-3,depth-6673_iter-4,depth-6673_iter-5,depth-6673_iter-6,depth-6673_iter-7,depth-6673_iter-8,depth-6673_iter-9,depth-6673_iter-10,depth-8897_iter-1,depth-8897_iter-2,depth-8897_iter-3,depth-8897_iter-4,depth-8897_iter-5,depth-8897_iter-6,depth-8897_iter-7,depth-8897_iter-8,depth-8897_iter-9,depth-8897_iter-10,depth-11122_iter-1,depth-11122_iter-2,depth-11122_iter-3,depth-11122_iter-4,depth-11122_iter-5,depth-11122_iter-6,depth-11122_iter-7,depth-11122_iter-8,depth-11122_iter-9,depth-11122_iter-10,depth-13346_iter-1,depth-13346_iter-2,depth-13346_iter-3,depth-13346_iter-4,depth-13346_iter-5,depth-13346_iter-6,depth-13346_iter-7,depth-13346_iter-8,depth-13346_iter-9,depth-13346_iter-10,depth-15570_iter-1,depth-15570_iter-2,depth-15570_iter-3,depth-15570_iter-4,depth-15570_iter-5,depth-15570_iter-6,depth-15570_iter-7,depth-15570_iter-8,depth-15570_iter-9,depth-15570_iter-10,depth-17794_iter-1,depth-17794_iter-2,depth-17794_iter-3,depth-17794_iter-4,depth-17794_iter-5,depth-17794_iter-6,depth-17794_iter-7,depth-17794_iter-8,depth-17794_iter-9,depth-17794_iter-10,depth-20019_iter-1,depth-20019_iter-2,depth-20019_iter-3,depth-20019_iter-4,depth-20019_iter-5,depth-20019_iter-6,depth-20019_iter-7,depth-20019_iter-8,depth-20019_iter-9,depth-20019_iter-10
DRR163068,1,1,1,1,1,1,1,1,1,1,57,55,53,54,54,56,57,57,56,52,60,60,60,59,61,61,59,61,59,60,62,62,62,61,65,61,63,62,61,61,63,63,64,62,63,62,63,63,65,64,64,64,64,65,63,65,63,63,65,64,64.0,64.0,64.0,64.0,64.0,64.0,65.0,64.0,64.0,64.0,65.0,65.0,65.0,65.0,65.0,64.0,65.0,65.0,65.0,65.0,,,,,,,,,,,,,,,,,,,,
DRR163069,1,1,1,1,1,1,1,1,1,1,36,30,34,32,34,34,32,36,35,33,36,37,37,37,36,35,36,36,38,36,38,37,37,38,38,37,39,39,37,38,38,39,39,39,39,38,37,36,39,38,37,39,38,39,38,39,39,39,39,38,38.0,38.0,39.0,39.0,39.0,39.0,39.0,39.0,38.0,39.0,39.0,39.0,39.0,39.0,39.0,38.0,39.0,38.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
DRR163070,1,1,1,1,1,1,1,1,1,1,37,38,37,38,37,37,37,36,36,37,38,37,39,38,39,39,38,38,39,38,39,39,38,39,37,39,38,39,39,39,39,38,39,39,39,39,39,39,39,39,39,39,39,38,39,39,39,39,39,39,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRR163071,1,1,1,1,1,1,1,1,1,1,43,42,45,47,41,42,44,43,45,45,49,45,45,49,48,46,46,48,49,45,49,47,49,49,49,47,51,47,48,48,50,47,51,50,50,50,49,50,51,50,51,50,51,50,50,50,50,51,49,49,49.0,51.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,51.0,51.0,51.0,51.0,51.0,51.0,50.0,51.0,51.0,51.0,51.0,51.0,51.0,50.0,51.0,51.0,50.0,50.0,51.0,51.0,50.0,50.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0
DRR163072,1,1,1,1,1,1,1,1,1,1,40,37,32,39,38,39,38,39,38,39,38,44,40,40,41,44,43,40,42,41,42,42,45,42,44,46,44,43,42,44,44,46,45,43,46,45,43,44,43,44,45,44,46,45,44,46,46,46,43,46,46.0,46.0,46.0,44.0,45.0,46.0,45.0,46.0,46.0,46.0,46.0,46.0,45.0,46.0,46.0,46.0,46.0,46.0,46.0,45.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
DRR163073,1,1,1,1,1,1,1,1,1,1,105,104,96,107,105,96,104,101,100,114,130,144,139,135,133,139,134,138,130,131,151,152,148,151,159,161,149,152,151,155,168,164,164,168,162,162,167,168,167,169,173,174,176,170,171,174,171,175,173,169,176.0,175.0,170.0,177.0,175.0,176.0,173.0,173.0,176.0,175.0,177.0,180.0,179.0,177.0,179.0,180.0,180.0,177.0,181.0,177.0,181.0,182.0,181.0,183.0,183.0,177.0,180.0,184.0,178.0,182.0,183.0,182.0,181.0,179.0,182.0,184.0,184.0,181.0,182.0,183.0
DRR163074,1,1,1,1,1,1,1,1,1,1,23,22,22,21,24,25,25,21,24,23,26,25,26,26,27,26,26,27,26,27,27,27,27,27,26,27,27,27,26,26,26,26,27,27,27,26,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,26.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
DRR163075,1,1,1,1,1,1,1,1,1,1,23,20,23,21,21,22,22,22,21,19,23,22,24,22,24,24,23,23,24,23,23,25,25,25,25,23,25,25,24,22,25,25,24,25,25,24,25,25,25,24,24,25,25,25,25,25,25,25,24,25,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.0,25.0,25.0,25.0,25.0,24.0,25.0,25.0,24.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,24.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0
DRR163076,1,1,1,1,1,1,1,1,1,1,35,36,39,36,35,36,37,40,37,34,42,40,41,42,40,44,41,40,40,42,43,43,44,45,44,45,44,45,43,45,46,45,46,45,46,46,45,44,45,44,45,45,44,45,46,46,46,46,46,46,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
DRR163077,1,1,1,1,1,1,1,1,1,1,21,22,21,20,20,21,20,19,20,20,20,22,21,19,22,22,22,22,22,20,22,22,22,21,22,22,22,22,22,22,22,22,22,22,22,22,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,,,,,,,,,,
