sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
BAQ1370.1.2	5	2	40	1	0	0	0	0
BAQ1370.1.3	16	1	6.25	1	0	0	0	0
BAQ1370.3	1	1	100	1	0	0	0	0
BAQ1552.1.1	14	11	78.57	1	0	0	0	0
BAQ1552.2	5	0	0	0	0	0	0	0
BAQ2420.1.1	2297	2061	89.73	1773	758	33	758	33
BAQ2420.1.2	2164	1940	89.65	1719	917	42.38	917	42.38
BAQ2420.1.3	2093	1917	91.59	1726	895	42.76	895	42.76
BAQ2420.2	2019	1803	89.3	1641	875	43.34	875	43.34
BAQ2420.3	2061	1780	86.37	1663	889	43.13	889	43.13
BAQ2462.1	2884	2462	85.37	2233	1273	44.14	1273	44.14
BAQ2462.2	1938	1684	86.89	1573	1043	53.82	1043	53.82
BAQ2462.3	1579	1405	88.98	1283	676	42.81	676	42.81
BAQ2687.1	2619	2405	91.83	2063	986	37.65	986	37.65
BAQ2687.2	2122	1769	83.36	1637	1189	56.03	1189	56.03
BAQ2687.3	2679	2268	84.66	2035	960	35.83	960	35.83
BAQ2838.1	1885	1657	87.9	1423	590	31.3	590	31.3
BAQ2838.2	1747	1505	86.15	1300	373	21.35	373	21.35
BAQ2838.3	1215	1049	86.34	915	412	33.91	412	33.91
BAQ3473.1	3589	3171	88.35	2791	1271	35.41	1271	35.41
BAQ3473.2	3088	2791	90.38	2380	1153	37.34	1153	37.34
BAQ3473.3	3933	3640	92.55	3319	1942	49.38	1942	49.38
BAQ4166.1.1	3187	2826	88.67	2450	1100	34.52	1100	34.52
BAQ4166.1.2	4131	3660	88.6	3208	1388	33.6	1316	31.86
BAQ4166.1.3	3089	2801	90.68	2509	1381	44.71	1354	43.83
BAQ4166.2	3887	3529	90.79	3069	1305	33.57	1266	32.57
BAQ4166.3	3896	3434	88.14	2966	1389	35.65	1389	35.65
BAQ4697.1	2686	2487	92.59	2322	1693	63.03	1693	63.03
BAQ4697.2	2575	2365	91.84	2174	1536	59.65	1536	59.65
BAQ4697.3	3507	3170	90.39	2929	1941	55.35	1941	55.35
BAQ895.2	13	3	23.08	1	0	0	0	0
BAQ895.3	4	3	75	1	0	0	0	0
YUN1005.1.1	2790	2534	90.82	2462	1973	70.72	1973	70.72
YUN1005.1.3	10	0	0	0	0	0	0	0
YUN1005.2	7	0	0	0	0	0	0	0
YUN1005.3	1316	1206	91.64	1150	1019	77.43	1019	77.43
YUN1242.1	1909	1737	90.99	1716	1582	82.87	1526	79.94
YUN1242.2	29	22	75.86	1	1	3.45	1	3.45
YUN1242.3	2324	2061	88.68	2001	1569	67.51	1526	65.66
YUN1609.1	2304	1982	86.02	1916	1405	60.98	1405	60.98
YUN1609.3	6	1	16.67	1	0	0	0	0
YUN2029.1	29	21	72.41	1	0	0	0	0
YUN2029.2	2751	2508	91.17	2423	1958	71.17	1916	69.65
YUN2029.3	3	0	0	0	0	0	0	0
YUN3008.1.1	14	8	57.14	1	0	0	0	0
YUN3008.1.2	5	1	20	1	0	0	0	0
YUN3008.1.3	21	1	4.76	1	0	0	0	0
YUN3008.2	3	1	33.33	1	0	0	0	0
YUN3008.3	11	4	36.36	1	1	9.09	1	9.09
YUN3153.1	11	5	45.45	2	0	0	0	0
YUN3153.2	1493	1327	88.88	1226	829	55.53	829	55.53
YUN3153.3	1842	1640	89.03	1553	1140	61.89	1140	61.89
YUN3184.1	4	2	50	1	0	0	0	0
YUN3184.2	9	7	77.78	1	0	0	0	0
YUN3259.1.1	195	168	86.15	74	56	28.72	56	28.72
YUN3259.1.2	2153	1964	91.22	1732	1050	48.77	1050	48.77
YUN3259.1.3	894	802	89.71	717	448	50.11	448	50.11
YUN3259.2	3138	2731	87.03	2313	795	25.33	795	25.33
YUN3259.3	3405	3014	88.52	2654	1227	36.04	1142	33.54
YUN3346.1	2072	1895	91.46	1773	1252	60.42	1213	58.54
YUN3346.2	608	542	89.14	441	198	32.57	198	32.57
YUN3346.3	2405	2081	86.53	1876	1068	44.41	1028	42.74
YUN3428.1	3154	2830	89.73	2473	1172	37.16	1172	37.16
YUN3428.2	4471	4000	89.47	3527	1944	43.48	1944	43.48
YUN3428.3	3464	3086	89.09	2737	1104	31.87	1104	31.87
YUN3533.1.1	3003	2768	92.17	2419	1270	42.29	1270	42.29
YUN3533.1.2	2936	2693	91.72	2269	835	28.44	835	28.44
YUN3533.1.3	2473	2264	91.55	1959	879	35.54	879	35.54
YUN3533.2	3680	3427	93.12	3169	1955	53.12	1955	53.12
YUN3533.3	4009	3704	92.39	3269	1685	42.03	1685	42.03
YUN3856.1.1	3236	2821	87.18	2419	1086	33.56	1086	33.56
YUN3856.1.2	2995	2789	93.12	2541	1640	54.76	1640	54.76
YUN3856.1.3	2332	2120	90.91	1949	1278	54.8	1278	54.8
YUN3856.2	3077	2779	90.32	2393	1179	38.32	1179	38.32
YUN3856.3	3898	3520	90.3	3184	1638	42.02	1638	42.02
