sample-id,depth-1_iter-1,depth-1_iter-2,depth-1_iter-3,depth-1_iter-4,depth-1_iter-5,depth-1_iter-6,depth-1_iter-7,depth-1_iter-8,depth-1_iter-9,depth-1_iter-10,depth-143_iter-1,depth-143_iter-2,depth-143_iter-3,depth-143_iter-4,depth-143_iter-5,depth-143_iter-6,depth-143_iter-7,depth-143_iter-8,depth-143_iter-9,depth-143_iter-10,depth-285_iter-1,depth-285_iter-2,depth-285_iter-3,depth-285_iter-4,depth-285_iter-5,depth-285_iter-6,depth-285_iter-7,depth-285_iter-8,depth-285_iter-9,depth-285_iter-10,depth-427_iter-1,depth-427_iter-2,depth-427_iter-3,depth-427_iter-4,depth-427_iter-5,depth-427_iter-6,depth-427_iter-7,depth-427_iter-8,depth-427_iter-9,depth-427_iter-10,depth-569_iter-1,depth-569_iter-2,depth-569_iter-3,depth-569_iter-4,depth-569_iter-5,depth-569_iter-6,depth-569_iter-7,depth-569_iter-8,depth-569_iter-9,depth-569_iter-10,depth-712_iter-1,depth-712_iter-2,depth-712_iter-3,depth-712_iter-4,depth-712_iter-5,depth-712_iter-6,depth-712_iter-7,depth-712_iter-8,depth-712_iter-9,depth-712_iter-10,depth-854_iter-1,depth-854_iter-2,depth-854_iter-3,depth-854_iter-4,depth-854_iter-5,depth-854_iter-6,depth-854_iter-7,depth-854_iter-8,depth-854_iter-9,depth-854_iter-10,depth-996_iter-1,depth-996_iter-2,depth-996_iter-3,depth-996_iter-4,depth-996_iter-5,depth-996_iter-6,depth-996_iter-7,depth-996_iter-8,depth-996_iter-9,depth-996_iter-10,depth-1138_iter-1,depth-1138_iter-2,depth-1138_iter-3,depth-1138_iter-4,depth-1138_iter-5,depth-1138_iter-6,depth-1138_iter-7,depth-1138_iter-8,depth-1138_iter-9,depth-1138_iter-10,depth-1281_iter-1,depth-1281_iter-2,depth-1281_iter-3,depth-1281_iter-4,depth-1281_iter-5,depth-1281_iter-6,depth-1281_iter-7,depth-1281_iter-8,depth-1281_iter-9,depth-1281_iter-10
L1S105,1,1,1,1,1,1,1,1,1,1,25,27,23,23,21,22,24,17,25,24,30,29,32,29,30,33,30,26,28,32,33.0,30.0,30.0,35.0,34.0,36.0,33.0,35.0,34.0,35.0,38.0,35.0,39.0,40.0,38.0,36.0,33.0,38.0,35.0,34.0,39.0,36.0,42.0,39.0,39.0,39.0,43.0,39.0,42.0,41.0,38.0,41.0,38.0,39.0,40.0,44.0,40.0,40.0,39.0,41.0,43.0,41.0,41.0,42.0,43.0,43.0,39.0,42.0,42.0,41.0,44.0,43.0,40.0,43.0,43.0,42.0,43.0,42.0,43.0,41.0,43.0,45.0,44.0,43.0,43.0,45.0,44.0,43.0,43.0,44.0
L1S140,1,1,1,1,1,1,1,1,1,1,27,27,25,27,20,23,25,23,21,26,27,28,32,33,28,29,29,31,33,35,32.0,33.0,36.0,36.0,31.0,38.0,34.0,35.0,37.0,35.0,40.0,38.0,36.0,36.0,38.0,38.0,40.0,37.0,37.0,40.0,38.0,38.0,38.0,39.0,36.0,40.0,41.0,38.0,36.0,38.0,40.0,38.0,40.0,40.0,42.0,39.0,43.0,37.0,41.0,41.0,42.0,41.0,40.0,41.0,40.0,41.0,40.0,42.0,40.0,43.0,44.0,42.0,41.0,41.0,43.0,41.0,40.0,42.0,40.0,42.0,42.0,43.0,44.0,43.0,42.0,43.0,43.0,42.0,43.0,43.0
L1S208,1,1,1,1,1,1,1,1,1,1,34,33,29,33,29,32,30,32,34,33,42,35,40,40,43,45,40,38,45,41,41.0,47.0,42.0,48.0,47.0,47.0,49.0,43.0,50.0,44.0,52.0,46.0,51.0,45.0,52.0,52.0,50.0,51.0,53.0,55.0,49.0,54.0,55.0,56.0,56.0,53.0,53.0,53.0,54.0,52.0,56.0,57.0,55.0,57.0,56.0,56.0,48.0,53.0,55.0,56.0,58.0,58.0,59.0,59.0,53.0,51.0,58.0,53.0,57.0,55.0,61.0,60.0,58.0,59.0,58.0,61.0,58.0,58.0,60.0,57.0,57.0,58.0,59.0,56.0,58.0,59.0,60.0,60.0,60.0,55.0
L1S257,1,1,1,1,1,1,1,1,1,1,33,40,35,32,35,36,37,35,31,24,41,48,48,40,41,45,41,44,46,41,51.0,47.0,51.0,49.0,53.0,49.0,47.0,53.0,47.0,47.0,57.0,52.0,56.0,49.0,51.0,50.0,51.0,57.0,53.0,51.0,56.0,50.0,55.0,53.0,56.0,56.0,54.0,54.0,53.0,58.0,57.0,55.0,60.0,56.0,56.0,56.0,54.0,58.0,55.0,57.0,61.0,57.0,57.0,59.0,54.0,60.0,58.0,60.0,60.0,60.0,60.0,58.0,59.0,61.0,61.0,59.0,59.0,60.0,58.0,58.0,61.0,57.0,60.0,61.0,61.0,57.0,62.0,58.0,60.0,57.0
L1S281,1,1,1,1,1,1,1,1,1,1,38,32,29,33,35,33,30,40,36,31,44,37,41,45,41,40,42,44,46,42,46.0,47.0,46.0,46.0,47.0,48.0,46.0,43.0,47.0,43.0,49.0,48.0,51.0,49.0,50.0,49.0,48.0,50.0,47.0,50.0,49.0,51.0,53.0,49.0,52.0,50.0,50.0,49.0,52.0,50.0,49.0,50.0,50.0,54.0,53.0,51.0,50.0,53.0,50.0,51.0,52.0,53.0,52.0,53.0,52.0,53.0,54.0,53.0,53.0,54.0,54.0,53.0,52.0,53.0,52.0,50.0,52.0,54.0,53.0,52.0,53.0,51.0,53.0,53.0,52.0,54.0,52.0,53.0,53.0,54.0
L1S57,1,1,1,1,1,1,1,1,1,1,24,27,25,24,23,30,25,26,32,24,37,36,35,30,36,32,41,36,37,36,40.0,40.0,42.0,37.0,43.0,34.0,42.0,38.0,40.0,39.0,41.0,40.0,41.0,40.0,41.0,42.0,40.0,42.0,37.0,40.0,41.0,42.0,42.0,42.0,45.0,42.0,41.0,43.0,40.0,40.0,46.0,46.0,42.0,44.0,45.0,45.0,43.0,46.0,43.0,43.0,44.0,44.0,43.0,43.0,43.0,45.0,43.0,41.0,44.0,43.0,46.0,45.0,43.0,46.0,46.0,43.0,45.0,44.0,45.0,45.0,47.0,46.0,45.0,44.0,46.0,46.0,43.0,44.0,45.0,45.0
L1S76,1,1,1,1,1,1,1,1,1,1,22,27,22,22,26,22,23,23,24,26,28,28,29,26,27,29,32,27,31,29,30.0,30.0,31.0,32.0,34.0,32.0,30.0,32.0,32.0,34.0,36.0,37.0,37.0,32.0,36.0,34.0,32.0,38.0,36.0,32.0,35.0,35.0,38.0,34.0,37.0,37.0,37.0,34.0,37.0,33.0,37.0,38.0,35.0,37.0,39.0,36.0,34.0,37.0,33.0,36.0,33.0,39.0,38.0,37.0,37.0,41.0,36.0,37.0,37.0,37.0,38.0,36.0,38.0,39.0,37.0,38.0,37.0,38.0,38.0,39.0,37.0,39.0,39.0,41.0,35.0,38.0,39.0,40.0,37.0,37.0
L1S8,1,1,1,1,1,1,1,1,1,1,20,16,15,19,21,19,18,16,16,17,22,22,23,21,27,23,24,23,28,20,29.0,27.0,26.0,28.0,31.0,29.0,27.0,31.0,25.0,27.0,27.0,27.0,26.0,32.0,27.0,29.0,29.0,27.0,29.0,28.0,29.0,31.0,30.0,33.0,30.0,32.0,30.0,29.0,29.0,29.0,31.0,31.0,31.0,30.0,30.0,32.0,29.0,29.0,31.0,30.0,31.0,29.0,32.0,32.0,30.0,32.0,32.0,32.0,29.0,29.0,32.0,30.0,30.0,32.0,33.0,31.0,31.0,32.0,32.0,31.0,32.0,32.0,31.0,31.0,32.0,33.0,31.0,31.0,32.0,31.0
L2S155,1,1,1,1,1,1,1,1,1,1,31,32,33,31,32,31,32,32,31,33,41,41,41,40,32,37,37,43,41,42,44.0,43.0,45.0,45.0,42.0,45.0,43.0,44.0,43.0,45.0,46.0,46.0,45.0,42.0,46.0,47.0,43.0,45.0,47.0,45.0,45.0,46.0,47.0,47.0,45.0,46.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,46.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,,,,,,,,,,,,,,,,,,,,
L2S175,1,1,1,1,1,1,1,1,1,1,29,34,35,35,30,38,34,33,36,33,43,40,43,41,41,46,40,41,43,43,46.0,47.0,47.0,46.0,48.0,47.0,47.0,45.0,45.0,46.0,49.0,46.0,50.0,49.0,48.0,49.0,47.0,49.0,49.0,47.0,51.0,50.0,49.0,49.0,51.0,50.0,49.0,49.0,51.0,51.0,49.0,51.0,50.0,51.0,51.0,51.0,49.0,50.0,50.0,51.0,51.0,50.0,51.0,51.0,50.0,50.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,,,,,,,,,,
